commune,insee,n_ilots,surface_ha,pct_vegetation,pct_mineral,pct_compact,pct_bati,expo_nuit_score,pct_forte_nuit,lat,lon
Lyon 3e Arrondissement,69383,779,633.09,1.61,4.38,42.282,94.01,1.244,47.969,45.753,4.87
Lyon 1er Arrondissement,69381,188,161.469,5.158,5.103,52.322,76.705,1.226,63.708,45.77,4.828
Lyon 6e Arrondissement,69386,778,379.023,24.158,8.071,28.534,54.901,0.697,47.899,45.774,4.852
Lyon 8e Arrondissement,69388,569,665.768,1.146,8.829,19.113,90.025,0.641,20.083,45.734,4.869
Lyon 2e Arrondissement,69382,455,349.629,4.35,9.018,33.66,60.835,0.619,41.769,45.749,4.826
Villeurbanne,69266,1436,1490.943,8.004,6.103,20.149,80.874,0.528,22.331,45.771,4.889
Lyon 7e Arrondissement,69387,737,986.517,3.558,20.885,19.307,63.339,0.429,23.464,45.733,4.837
Lyon 4e Arrondissement,69384,312,322.573,13.924,4.288,31.465,65.354,0.4,27.041,45.78,4.824
Lyon 9e Arrondissement,69389,755,713.049,17.632,6.566,13.974,72.612,0.157,13.579,45.783,4.808
Oullins,69149,352,438.77,15.099,5.202,9.396,77.54,0.15,8.507,45.715,4.803
Lyon 5e Arrondissement,69385,446,620.885,12.128,2.651,13.036,83.503,0.144,9.57,45.756,4.803
Vénissieux,69259,925,1542.529,18.466,10.806,3.544,70.54,0.063,0.492,45.704,4.881
Saint-Fons,69199,540,601.276,23.585,17.817,3.498,53.086,0.01,1.784,45.701,4.851
Chassieu,69271,455,1143.793,37.384,16.972,0.038,45.193,-0.004,0.0,45.738,4.962
Corbas,69273,398,1187.051,45.632,5.135,1.439,48.915,-0.013,0.0,45.669,4.909
Mions,69283,306,1166.056,62.119,2.042,0.0,35.593,-0.031,0.0,45.666,4.949
Saint-Priest,69290,1233,2972.129,42.35,11.546,1.059,45.659,-0.036,0.285,45.702,4.949
Bron,69029,845,1031.041,11.925,18.522,2.037,69.447,-0.042,0.687,45.735,4.912
Montanay,69284,108,782.963,86.159,0.745,0.0,12.977,-0.078,0.0,45.876,4.867
La Mulatière,69142,153,166.807,13.618,5.344,0.342,71.266,-0.083,0.646,45.729,4.812
Quincieux,69163,427,1799.406,82.575,3.785,0.022,7.526,-0.092,0.0,45.914,4.773
Genay,69278,220,889.862,67.556,2.109,0.088,24.848,-0.112,0.0,45.898,4.836
Caluire-et-Cuire,69034,732,1012.997,22.941,4.837,2.086,68.801,-0.114,2.074,45.798,4.852
Sathonay-Village,69293,111,512.686,83.842,0.634,0.0,15.28,-0.116,0.0,45.84,4.887
Saint-Genis-Laval,69204,625,1291.27,44.544,5.348,0.549,50.059,-0.119,0.139,45.694,4.789
Cailloux-sur-Fontaines,69033,122,847.77,86.205,0.683,0.016,13.112,-0.125,0.0,45.86,4.883
Sainte-Foy-lès-Lyon,69202,415,682.674,21.698,1.476,0.67,76.615,-0.125,0.971,45.736,4.794
Champagne-au-Mont-d'Or,69040,188,241.862,21.161,2.894,0.93,75.945,-0.137,0.026,45.798,4.786
Saint-Genis-les-Ollières,69205,158,371.558,53.596,0.54,0.013,45.717,-0.146,0.0,45.762,4.728
Pierre-Bénite,69152,284,452.194,17.263,10.47,2.44,55.136,-0.146,0.192,45.702,4.827
Rillieux-la-Pape,69286,891,1367.885,48.674,4.677,0.415,45.895,-0.149,0.183,45.821,4.899
Craponne,69069,205,476.472,20.216,3.154,0.498,76.63,-0.154,0.275,45.746,4.727
Feyzin,69276,490,1047.449,52.528,6.914,0.115,36.056,-0.16,0.034,45.673,4.856
Décines-Charpieu,69275,702,1714.251,46.861,3.823,1.57,38.569,-0.163,0.147,45.772,4.962
Fontaines-Saint-Martin,69087,106,272.519,68.715,0.452,0.051,30.833,-0.166,0.0,45.843,4.854
Fontaines-sur-Saône,69088,120,211.634,24.205,7.466,3.129,65.01,-0.186,0.815,45.829,4.857
Tassin-la-Demi-Lune,69244,519,793.76,45.038,4.62,1.101,50.342,-0.204,0.478,45.763,4.755
Fleurieu-sur-Saône,69085,121,219.14,61.676,0.798,0.0,37.404,-0.208,0.0,45.859,4.85
Écully,69081,747,852.256,40.964,5.852,0.973,53.069,-0.216,0.386,45.782,4.773
Charly,69046,175,517.322,63.939,0.307,0.06,35.743,-0.223,0.0,45.651,4.79
Lissieu,69117,240,573.699,80.023,5.76,0.198,14.061,-0.225,0.026,45.855,4.745
Jonage,69279,338,1196.867,72.13,0.682,0.176,24.65,-0.226,0.0,45.791,5.042
Neuville-sur-Saône,69143,214,557.601,45.75,1.577,0.947,45.566,-0.228,1.047,45.883,4.844
Marcy-l'Étoile,69127,281,537.312,62.613,4.802,1.178,32.519,-0.229,0.173,45.785,4.711
Solaize,69296,375,770.045,63.585,19.275,0.609,10.501,-0.231,0.217,45.645,4.838
Sathonay-Camp,69292,107,205.176,43.715,7.107,2.057,48.543,-0.231,1.52,45.826,4.876
Saint-Germain-au-Mont-d'Or,69207,186,515.315,82.633,7.086,0.0,9.95,-0.257,0.0,45.883,4.801
Saint-Cyr-au-Mont-d'Or,69191,298,726.99,53.174,0.729,0.0,46.097,-0.264,0.0,45.819,4.818
La Tour-de-Salvagny,69250,298,785.066,80.486,1.845,0.026,17.035,-0.264,0.0,45.811,4.711
Grigny,69096,351,592.96,41.996,8.398,0.417,42.012,-0.27,0.126,45.609,4.787
Saint-Didier-au-Mont-d'Or,69194,527,850.839,52.924,0.748,0.271,46.321,-0.283,0.06,45.815,4.798
Charbonnières-les-Bains,69044,383,411.979,45.309,4.128,0.2,50.563,-0.293,0.087,45.78,4.744
Collonges-au-Mont-d'Or,69063,318,413.127,32.105,3.152,0.045,49.726,-0.296,0.0,45.822,4.843
Dardilly,69072,610,1459.118,72.857,2.83,0.075,23.942,-0.304,0.013,45.812,4.746
Meyzieu,69282,988,2359.353,44.628,1.934,0.472,44.727,-0.308,0.072,45.777,5.006
Givors,69091,1028,1743.821,67.394,4.588,1.346,25.236,-0.319,0.687,45.581,4.758
Irigny,69100,461,890.039,62.39,1.504,0.293,33.117,-0.335,0.018,45.675,4.818
Limonest,69116,513,914.355,81.639,3.479,0.19,14.64,-0.353,0.109,45.831,4.771
Francheville,69089,571,825.723,52.733,2.806,0.324,44.273,-0.354,0.066,45.738,4.757
Rochetaillée-sur-Saône,69168,76,156.003,47.972,3.467,0.672,25.575,-0.374,0.0,45.843,4.838
Vaulx-en-Velin,69256,1447,2176.01,40.896,3.689,0.567,39.129,-0.407,0.539,45.786,4.925
Poleymieux-au-Mont-d'Or,69153,152,634.83,91.61,0.49,0.0,7.9,-0.437,0.0,45.855,4.794
Albigny-sur-Saône,69003,113,282.915,32.173,1.638,0.0,44.003,-0.444,0.0,45.864,4.831
Couzon-au-Mont-d'Or,69068,151,303.637,63.557,1.456,0.352,33.726,-0.473,0.064,45.847,4.821
Curis-au-Mont-d'Or,69071,119,298.198,88.745,1.142,0.02,10.113,-0.473,0.0,45.869,4.818
Vernaison,69260,301,464.604,66.3,1.101,0.404,27.524,-0.487,0.0,45.65,4.812
Saint-Romain-au-Mont-d'Or,69233,83,253.353,78.922,1.565,0.0,19.471,-0.584,0.0,45.836,4.82
