commune,lcz_groupe,expo_score,surface,lat,lon
Quincieux,Minéral,0.0,658,45.90272,4.79273
Décines-Charpieu,Bâti diffus,0.0,126635,45.7573,4.93801
Meyzieu,Bâti diffus,0.0,67250,45.79231,4.99331
Lyon 7e Arrondissement,Bâti compact,2.0,16209,45.7347,4.83707
Tassin-la-Demi-Lune,Végétation,-1.0,36686,45.76789,4.74651
Vaulx-en-Velin,Bâti diffus,0.0,49531,45.77722,4.91319
Villeurbanne,Bâti diffus,0.0,24337,45.75217,4.90859
Lyon 1er Arrondissement,Bâti compact,2.0,10186,45.7734,4.83175
Sainte-Foy-lès-Lyon,Bâti diffus,0.0,78988,45.73322,4.807
La Mulatière,Bâti diffus,-1.0,19321,45.72923,4.81396
Lyon 9e Arrondissement,Bâti diffus,2.0,2659,45.76869,4.80788
Lyon 3e Arrondissement,Bâti compact,1.0,8642,45.75142,4.87362
Vénissieux,Bâti diffus,1.0,625,45.69958,4.88387
Lyon 7e Arrondissement,Bâti diffus,2.0,4150,45.74387,4.84729
Lyon 6e Arrondissement,Bâti diffus,2.0,8568,45.76725,4.86138
Écully,Bâti diffus,0.0,12453,45.76984,4.76466
Francheville,Bâti diffus,0.0,5402,45.73818,4.77948
Lyon 1er Arrondissement,Bâti diffus,2.0,49005,45.7728,4.82722
Vaulx-en-Velin,Bâti diffus,1.0,4367,45.77824,4.93032
Lyon 3e Arrondissement,Bâti diffus,0.0,15197,45.74514,4.89108
Collonges-au-Mont-d'Or,Bâti diffus,0.0,92736,45.80807,4.83925
Lissieu,Végétation,0.0,3452,45.83969,4.73757
Neuville-sur-Saône,Bâti diffus,0.0,126284,45.88556,4.83446
Genay,Bâti diffus,0.0,53716,45.89995,4.84049
Lyon 1er Arrondissement,Bâti diffus,1.0,1168,45.76813,4.82797
Saint-Genis-Laval,Bâti compact,2.0,4126,45.69569,4.79427
Dardilly,Végétation,0.0,302383,45.79567,4.74803
Pierre-Bénite,Bâti diffus,0.0,106044,45.70091,4.83003
Mions,Végétation,0.0,167040,45.66822,4.93291
Lyon 1er Arrondissement,Bâti compact,2.0,6802,45.76709,4.83513
Meyzieu,Bâti diffus,0.0,11350,45.77615,5.00127
Lyon 5e Arrondissement,Bâti compact,1.0,207201,45.75482,4.82049
Lyon 6e Arrondissement,Bâti compact,2.0,8585,45.76733,4.8428
Meyzieu,Bâti diffus,0.0,78650,45.77032,4.99039
Lyon 3e Arrondissement,Bâti compact,2.0,6617,45.76026,4.84161
Lyon 7e Arrondissement,Bâti compact,2.0,8466,45.75019,4.84744
Corbas,Bâti diffus,0.0,29546,45.66062,4.907
Bron,Minéral,0.0,304391,45.72797,4.9326
Meyzieu,Bâti diffus,0.0,338385,45.76318,5.03103
Lyon 8e Arrondissement,Bâti diffus,0.0,33570,45.72708,4.88117
Oullins,Bâti compact,2.0,6223,45.71719,4.81012
Charbonnières-les-Bains,Bâti diffus,1.0,3298,45.78214,4.73671
Lyon 7e Arrondissement,Bâti compact,2.0,2123,45.74861,4.84027
